『乙女ハウス』、『ホームレスごっこ』、住まいの貧困ネットワーク5周年記念イベントにて上映されます！,2014-03-22,"2014年4月27日（日）、新宿区・保育プラザにて、住まいの貧困に取り組むネットワークの5周年記念の映画祭があり、『乙女ハウス』と『ホームレスごっこ』が上映されます！　上映後には、「住宅問題・住宅政策と貧困問題を語る」というテーマで座談会もあります。座談会登壇者：宇都宮健児さん（弁護士）、遠藤大輔さん（映画監督）、稲葉剛さん（ネットワーク世話人）、早川由美子（映画監督）、司会：坂庭国晴さん（ネットワーク世話人）。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ホームレスごっこ』、国際女性短編映画祭（イタリア・ナポリ）で上映されます！,2014-03-08,"2014年4月10日（木）、『ホームレスごっこ』が<a href=""http://www.acortodidonne.it/index_en.php"" target=""_blank"">A Corto di Donne映画祭</a>（イタリア・ナポリで開催される、国際女性短編映画祭）上映作品として選ばれました！　もしイタリアにお友達のいる方は、是非お伝えくださればうれしいです。上映について、詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。（上映会場などは後日掲載します）。"
『木田さんと原発』、茨城県つくば市にて上映されます！,2014-03-06,"2014年3月8日（土）、『木田さんと原発』が茨城県つくば市の千年一日珈琲焙煎所にて上映されます。主催はグリーンズ茨城です。お近くの方は是非いらしてください。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a> をご覧ください。"
『ホームレスごっこ』ジャパン・プレミア上映決定しました！,2014-03-06,"今年初めに完成したばかりの短編『ホームレスごっこ』の本邦初公開が決まりました！　2014年3月21日（金・祝）、東京西荻窪の+ cafe（タスカフェ）にて、音楽 x ライブ x パフォーマンス x 映像を詰め込んだスペシャルイベント『Catch & Throw Vol.1』内にて上映されます。ぜひ記念すべき初上映にいらしてくださいませ！　詳しくは<a href=""http://brianandco.cocolog-nifty.com/blog/2014/03/jp-0566.html"" target=""_blank"">こちら</a> をご覧ください。"
『踊る善福寺』、東京・新宿で上映されます！,2014-03-06,"2014年3月23日（日）、東京新宿の「目白・ゆうど」にて、『踊る善福寺』が上映されます。一流ホテルでフレンチを担当する”いずよ”ちゃんによるケーキのデコレーション、その他、音楽ライブ、ワークショップなど盛りだくさんのイベント『みんなのケーキ～1個目～』イベント内での上映です。こちらのイベントのコンセプトは、”デコレーションケーキを目の前にしたときの、なんとも華やかな気持ち。 誰かをお祝いしたり誰かにお祝いされたりするときの、なんだか晴れがましい気持ち。そんなうれしい気持ちをみんなとシェアしたいから。『みんなのケーキ』は、一緒に作って一緒にたべる、ハッピーシェアリング”。詳しくは<a href=""http://brianandco.cocolog-nifty.com/blog/2014/03/jp-1-7e99.html"" target=""_blank"">こちら</a>をご覧ください。"
『踊る善福寺』＆『ホームレスごっこ』、ベトナム・ハノイで上映されます！,2014-02-19,"2014年2月21日（金）、ベトナム・ハノイにあるメディアセンター「Hanoi DOCLAB」にて『踊る善福寺』と『ホームレスごっこ』が上映されます！（英語字幕付）。なんと監督初のベトナム訪問！　どんな出会いがあるか、楽しみです！　上映後には、Q&A及びディスカッションを予定。主催：<a href=""http://www.hanoidoclab.org/en/"" target=""_blank"">Hanoi DOCLAB</a>。"
「乙女ハウス」、朝日新聞で紹介されました！,2014-02-18,"2014年2月4日の朝日新聞夕刊で、「乙女ハウス」の取り組みと映画が紹介されました。記事は<a href=""http://brianandco.cocolog-nifty.com/blog/2014/02/jp-fb6c.html"" target=""_blank"">こちら</a>からご覧いただけます！"
「木田さんと原発」、名古屋にて上映＆木田節子さんによるお話！,2014-02-12,"東日本大震災の発生からちょうど3年となる、2014年3月11日、「未来につなげる・東海ネット」主催で、「木田さんと原発、そして日本」が名古屋で上映されます。当日は、木田節子さんによるお話もあります。東海方面の方は是非いらしてください！　詳しくは<a href=""http://tokainet.wordpress.com/2014/02/03/20140311/"" target=""_blank"">こちら</a>をご覧ください。"
「乙女ハウス」、港区立男女平等参画センター主催の「女性監督映画祭」で上映されます！,2014-01-16,"2014年2月15日（土）、港区立男女平等参画センター主催の「女性監督映画祭」で上映されます。当日は、終日、世界各国の女性監督が作った作品が上映され、映画評論家・松本侑壬子さんの講演と、早川由美子監督との対談も予定されています。是非いらしてください！　詳細は<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください"
「木田さんと原発」、DVD販売開始しました！,2013-12-29,"「今は福島のこと　いつかは貴方の町のこと…」<br/> 衆議院＆参議院選挙前に期間限定でネット公開し、評判となった「木田さんと原発、そして日本」が、ついにDVD化されました！　DVD特典として、三宅洋平さんの「選挙フェス」フィナーレ＠渋谷ダイジェスト映像（31分）も収録。映画について詳しくは<a href=""http://brianandco.cocolog-nifty.com/blog/2013/10/jp-a0a4.html"" target=""_blank"">こちら</a>をご覧ください。ご購入は<a href=""http://www.petiteadventurefilms.com/online_shop.php"" target=""_blank"">こちら</a>より。"
